Source,Target,Weight
1,32,1197
1,38,70
7,46,2
8,20,1
10,95,1
11,46,1
11,54,1
11,76,1
11,77,1
11,83,1
11,93,1
12,20,3
12,26,3
12,30,5
12,36,1
12,41,2
12,42,3
12,43,3
12,45,3
12,50,2
12,52,1
12,57,3
12,61,3
12,63,12
12,69,3
12,82,3
12,85,3
12,89,3
12,90,1
12,93,3
12,94,1
12,95,1
12,99,3
14,73,2
18,3,1
19,82,1
23,3,2
23,5,2
23,8,2
23,10,2
23,11,4
23,17,2
23,19,2
23,20,2
23,21,6
23,26,2
23,28,1
23,29,2
23,35,2
23,44,2
23,47,2
23,49,2
23,55,2
23,57,4
23,59,2
23,60,2
23,65,2
23,66,2
23,68,5
23,74,2
23,76,2
23,77,2
23,82,2
23,84,2
23,85,2
23,86,2
23,87,2
23,90,2
23,91,2
23,93,2
23,96,4
23,97,2
23,98,2
23,99,4
26,91,1
30,10,1
30,11,1
30,12,1
30,13,1
30,23,1
30,24,1
30,26,1
30,32,1
30,38,1
30,39,1
30,41,1
30,45,1
30,47,1
30,48,1
30,52,1
30,54,1
30,55,1
30,56,1
30,57,1
30,58,1
30,60,1
30,61,1
30,63,1
30,65,1
30,66,1
30,67,1
30,69,1
30,71,1
30,72,1
30,78,1
30,80,1
30,83,1
30,84,1
30,88,1
30,90,1
30,94,1
30,98,1
30,99,1
31,3,1
31,46,2
31,77,2
32,38,124
33,25,1
40,32,1197
40,36,1
40,38,63
43,32,1197
43,38,110
47,46,1
47,59,1
50,78,1
53,32,1197
53,38,96
54,28,1
54,76,1
56,32,1197
56,38,165
57,32,1197
57,38,60
58,32,1197
58,38,65
59,32,1197
59,38,59
60,59,1
64,29,1
66,67,1
66,93,3
75,32,1197
75,38,58
75,47,1
75,93,1
77,19,2
77,46,2
78,26,1
78,84,1
78,90,1
82,32,1197
82,38,174
85,46,2
85,92,3
86,23,1
93,32,1197
93,38,130
95,46,1
96,1,2
96,3,1
96,5,2
96,7,1
96,8,2
96,9,2
96,10,2
96,11,2
96,12,2
96,13,2
96,17,2
96,18,2
96,24,2
96,26,2
96,27,2
96,30,2
96,32,2
96,33,1
96,37,2
96,38,2
96,39,2
96,40,1
96,41,1
96,42,36
96,43,2
96,44,2
96,45,2
96,46,2
96,47,2
96,48,2
96,49,2
96,50,2
96,51,2
96,52,2
96,53,2
96,54,2
96,55,2
96,56,2
96,57,2
96,58,2
96,59,2
96,60,2
96,61,2
96,62,2
96,63,2
96,65,2
96,66,2
96,69,2
96,70,2
96,71,2
96,72,2
96,73,2
96,74,2
96,76,2
96,77,2
96,80,2
96,82,2
96,83,2
96,84,2
96,85,2
96,87,2
96,88,2
96,89,2
96,90,2
96,91,2
96,93,1
96,94,2
96,98,2
96,99,2
99,32,1197
99,38,165
